CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
1111 - ENERGY DRINK,CHILLER,1.18,1.22,0.0339,34.0,25.67,-0.245,8794.0,8923.0,0.0147,54.0,61.0,0.1296,0.0118,0.0107,-0.0932
1112 - CARBONATED DRINK,CHILLER,1.26,1.38,0.0952,598.5,297.33,-0.5032,11629.0,9358.0,-0.1953,612.0,623.0,0.018,0.1338,0.1089,-0.1861
1113 - MINERAL WATER,CHILLER,2.13,1.95,-0.0845,1096.5,1115.33,0.0172,8757.0,8664.0,-0.0106,1433.0,1941.0,0.3545,0.3132,0.3394,0.0837
1114 - ISOTONIC DRINK,CHILLER,1.3,1.32,0.0154,341.5,348.67,0.021,12324.0,12957.0,0.0514,523.0,760.0,0.4532,0.1143,0.1329,0.1627
1115 - REMEDIES DRINK,CHILLER,1.4,1.4,0.0,237.5,241.67,0.0176,11244.0,11550.0,0.0272,382.0,547.0,0.4319,0.0835,0.0956,0.1449
1116 - VITAMIN DRINK,CHILLER,1.45,1.43,-0.0138,216.5,184.33,-0.1486,11258.0,11220.0,-0.0034,358.0,447.0,0.2486,0.0783,0.0782,-0.0013
1117 - YOGHURT BEVERAGE,CHILLER,1.44,2.06,0.4306,13.5,10.67,-0.2096,14507.0,20419.0,0.4075,23.0,28.0,0.2174,0.005,0.0049,-0.02
1118 - CARBONATED MALT,CHILLER,1.5,2.46,0.64,20.0,30.0,0.5,12308.0,17989.0,0.4616,30.0,66.0,1.2,0.0066,0.0115,0.7424
1121 - DESSERT,CHILLER,1.3,1.28,-0.0154,61.0,50.0,-0.1803,11646.0,11639.0,-0.0006,90.0,113.0,0.2556,0.0197,0.0198,0.0051
1151 - RTD JUICE,CHILLER,1.37,1.33,-0.0292,794.5,280.67,-0.6467,11175.0,13741.0,0.2296,779.0,641.0,-0.1772,0.1703,0.1121,-0.3417
