CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
1111 - ENERGY DRINK,CHILLER,1.18,1.22,0.0339,34.0,25.67,-0.245,0.63,0.42,-0.3333,8794.0,8923.0,0.0147,5540.0,3748.0,-0.3235,54.0,61.0,0.1296,0.0065,0.0054,-0.1692,44.0,45.0,13.0,19.0,0.7719,0.7031,0.2281,0.2969
1112 - CARBONATED DRINK,CHILLER,1.26,1.38,0.0952,598.5,297.33,-0.5032,0.98,0.48,-0.5102,11629.0,9358.0,-0.1953,11396.0,4492.0,-0.6058,612.0,623.0,0.018,0.1141,0.0622,-0.4549,446.0,391.0,206.0,292.0,0.684,0.5725,0.316,0.4275
1113 - MINERAL WATER,CHILLER,2.13,1.95,-0.0845,1096.5,1115.33,0.0172,0.77,0.57,-0.2597,8757.0,8664.0,-0.0106,6743.0,4938.0,-0.2677,1433.0,1941.0,0.3545,0.209,0.2333,0.1163,931.0,1348.0,680.0,882.0,0.5779,0.6045,0.4221,0.3955
1114 - ISOTONIC DRINK,CHILLER,1.3,1.32,0.0154,341.5,348.67,0.021,0.65,0.46,-0.2923,12324.0,12957.0,0.0514,8011.0,5960.0,-0.256,523.0,760.0,0.4532,0.0651,0.0729,0.1198,228.0,303.0,351.0,534.0,0.3938,0.362,0.6062,0.638
1115 - REMEDIES DRINK,CHILLER,1.4,1.4,0.0,237.5,241.67,0.0176,0.62,0.44,-0.2903,11244.0,11550.0,0.0272,6971.0,5082.0,-0.271,382.0,547.0,0.4319,0.0453,0.0505,0.1148,213.0,229.0,215.0,384.0,0.4977,0.3736,0.5023,0.6264
1116 - VITAMIN DRINK,CHILLER,1.45,1.43,-0.0138,216.5,184.33,-0.1486,0.6,0.41,-0.3167,11258.0,11220.0,-0.0034,6755.0,4600.0,-0.319,358.0,447.0,0.2486,0.0413,0.0386,-0.0654,282.0,224.0,98.0,256.0,0.7421,0.4667,0.2579,0.5333
1117 - YOGHURT BEVERAGE,CHILLER,1.44,2.06,0.4306,13.5,10.67,-0.2096,0.59,0.38,-0.3559,14507.0,20419.0,0.4075,8559.0,7759.0,-0.0935,23.0,28.0,0.2174,0.0026,0.0022,-0.1538,21.0,17.0,4.0,15.0,0.84,0.5312,0.16,0.4688
1118 - CARBONATED MALT,CHILLER,1.5,2.46,0.64,20.0,30.0,0.5,0.67,0.45,-0.3284,12308.0,17989.0,0.4616,8246.0,8095.0,-0.0183,30.0,66.0,1.2,0.0038,0.0063,0.6579,22.0,44.0,10.0,27.0,0.6875,0.6197,0.3125,0.3803
1121 - DESSERT,CHILLER,1.3,1.28,-0.0154,61.0,50.0,-0.1803,0.68,0.44,-0.3529,11646.0,11639.0,-0.0006,7919.0,5121.0,-0.3533,90.0,113.0,0.2556,0.0116,0.0105,-0.0948,61.0,52.0,36.0,68.0,0.6289,0.4333,0.3711,0.5667
1151 - RTD JUICE,CHILLER,1.37,1.33,-0.0292,794.5,280.67,-0.6467,1.02,0.44,-0.5686,11175.0,13741.0,0.2296,11398.0,6046.0,-0.4696,779.0,641.0,-0.1772,0.1514,0.0587,-0.6123,597.0,393.0,256.0,324.0,0.6999,0.5481,0.3001,0.4519
